date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:13	119/119	---M-Z	200	added ('OK')	text/plain	date:Thu,%2024%20Nov%202022%2012:00:12%20GMT	https://blogosphere.cmsmasters.net/robots.txt		(from )
17:30:14	150009/150009	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2012:00:12%20GMT	https://blogosphere.cmsmasters.net/fashion/	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/index.html	(from )
17:30:15	292/292	---M--	403	error ('Forbidden')	text/html	date:Thu,%2024%20Nov%202022%2012:00:14%20GMT	https://blogosphere.cmsmasters.net/fashion/xmlrpc.php	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/xmlrpc.php	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:15	21598/21598	---M-Z	200	added ('OK')	text/css	etag:%22545e-5eae586adb09b-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.0.8	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/instagram-feed/css/sbi-styles.mind42d.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:16	24815/24815	---M-Z	200	added ('OK')	text/css	etag:%2260ef-5eae57d58b63c-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.5.0	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider56ef.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:16	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5eae58ee92e25-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:16	27343/27343	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bc1c2a63c0a8c70759475d6fba5bda51-gzip%22	https://blogosphere.cmsmasters.net/fashion/feed/	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/feed/index.html	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:17	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%2228c3-5eae5900fe958-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.5.1	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style2ff6.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:17	7853/7853	---M-Z	200	added ('OK')	application/rss+xml	etag:%221a8d21f42b0deb7ea8c320cf0e5c81ce-gzip%22	https://blogosphere.cmsmasters.net/fashion/comments/feed/	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/comments/feed/index.html	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:18	230625/230625	---M-Z	200	added ('OK')	text/css	etag:%22384e1-5eae5900fba79-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.5.1	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style2ff6.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:18	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5eae58ff7ece0-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://blogosphere.cmsmasters.net/fashion/)
17:30:18	3106/3106	---M-Z	200	added ('OK')	text/css	etag:%22c22-5eae585cd354f-gzip%22	https://blogosphere.cmsmasters.net/fashion/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public.css?ver=3.0.3	C:/My%20Web%20Sites/blogoshere_valen/blogosphere.cmsmasters.net/fashion/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public19ce.css	(from https://blogosphere.cmsmasters.net/fashion/)
